sa_2022_code,town_name,town_name_alt,county,method,distance_km
027062001,Swanlinbar,,Cavan,nearest_settlement,4.27
027063001,Kingscourt,,Cavan,within_settlement,0.49
027063002,Kingscourt,,Cavan,within_settlement,0.26
027063003,Kingscourt,,Cavan,within_settlement,0.55
027063004,Kingscourt,,Cavan,within_settlement,1.08
027063005,Kingscourt,,Cavan,within_settlement,0.24
027063006,Kingscourt,,Cavan,within_settlement,0.36
027063007,Kingscourt,,Cavan,within_settlement,0.66
027063008,Kingscourt,,Cavan,nearest_settlement,1.92
027063009,Kingscourt,,Cavan,within_settlement,0.9
027063010,Kingscourt,,Cavan,within_settlement,0.52
027063011,Kingscourt,,Cavan,nearest_settlement,1.32
027064001,Shercock,,Cavan,nearest_settlement,6.73
027064002,Shercock,,Cavan,nearest_settlement,4.72
027065001,Ballyhaise,,Cavan,nearest_settlement,8.74
027065002,Cootehill,,Cavan,nearest_settlement,9.55
027066001,Cavan,,Cavan,nearest_settlement,12.21
027066002,Ballyjamesduff,,Cavan,nearest_settlement,11.5
027067001,Kingscourt,,Cavan,nearest_settlement,4.9
027067002,Kingscourt,,Cavan,nearest_settlement,4.6
027068001,Ballyconnell,,Cavan,nearest_settlement,5.53
027069001,Loch Gowna,,Cavan,nearest_settlement,4.06
027069002,Loch Gowna,,Cavan,nearest_settlement,3.4
027070001,Ballyjamesduff,,Cavan,nearest_settlement,2.85
027070002,Ballyjamesduff,,Cavan,nearest_settlement,4.23
027070003,Virginia,,Cavan,nearest_settlement,4.02
027071001,Belturbet,,Cavan,nearest_settlement,5.51
027071002,Killeshandra,,Cavan,nearest_settlement,4.48
027072001,Cavan,,Cavan,nearest_settlement,5.81
027072002,Cavan,,Cavan,nearest_settlement,3.8
027072003,Cavan,,Cavan,nearest_settlement,3.97
027072004,Cavan,,Cavan,nearest_settlement,4.15
027072005,Cavan,,Cavan,within_settlement,2.54
027072006,Cavan,,Cavan,within_settlement,2.17
027072007,Cavan,,Cavan,nearest_settlement,4.75
027073001,Mullagh,,Cavan,within_settlement,0.22
027073002,Mullagh,,Cavan,nearest_settlement,1.25
027073003,Mullagh,,Cavan,nearest_settlement,2.6
027073004,Mullagh,,Cavan,within_settlement,0.49
027073005,Mullagh,,Cavan,within_settlement,0.61
027073006,Mullagh,,Cavan,within_settlement,0.83
027073007,Mullagh,,Cavan,within_settlement,0.27
027074001,Virginia,,Cavan,nearest_settlement,5.53
027074002,Virginia,,Cavan,nearest_settlement,4.48
027074003,Virginia,,Cavan,nearest_settlement,5.81
027074004,Virginia,,Cavan,nearest_settlement,2.54
027075001/027088001,Swanlinbar,,Cavan,nearest_settlement,3.65
027076001,Cootehill,,Cavan,nearest_settlement,7.66
027076002,Ballyhaise,,Cavan,nearest_settlement,7.69
027077001,Ballyhaise,,Cavan,nearest_settlement,6.78
027077002,Ballyhaise,,Cavan,nearest_settlement,4.82
027078001,Loch Gowna,,Cavan,nearest_settlement,1.38
027078002,Loch Gowna,,Cavan,nearest_settlement,1.17
027078003,Loch Gowna,,Cavan,within_settlement,0.0
027079001,Shercock,,Cavan,nearest_settlement,4.29
027079002,Shercock,,Cavan,nearest_settlement,0.86
027079003/027079005,Shercock,,Cavan,nearest_settlement,1.39
027079004/027079002,Shercock,,Cavan,within_settlement,0.17
027079005/027079003,Shercock,,Cavan,within_settlement,0.17
027080001,Bailieborough,,Cavan,nearest_settlement,4.78
