sa_2022_code,d_nursing_km,d_homecare_km,d_fci_km,d_nearest_km,support_nearby,nearest_type,nearest_loc,pr_distance,isolation,vulnerability,service_desert
047096003,0.78,17.7,42.09,17.7,1,homecare,address,76.32,63.12,67.1,51.21
047096004,1.14,17.57,41.98,17.57,1,homecare,address,76.05,49.76,45.05,34.26
047096005,0.16,17.55,41.89,17.55,1,homecare,address,76.01,80.47,48.5,36.86
047096006,0.21,17.44,41.76,17.44,1,homecare,address,75.77,73.75,56.78,43.02
047096007,0.27,17.8,42.13,17.8,1,homecare,address,76.61,79.44,72.35,55.43
047096008,0.57,17.73,42.03,17.73,1,homecare,address,76.42,80.9,50.17,38.34
047096009,1.28,16.31,40.6,16.31,1,homecare,address,72.97,54.3,52.58,38.37
047096010,0.11,17.33,41.67,17.33,1,homecare,address,75.47,85.59,54.13,40.85
047096011,0.14,17.46,41.82,17.46,1,homecare,address,75.85,79.5,60.31,45.75
047096012,0.63,17.01,41.39,17.01,1,homecare,address,74.69,71.23,53.1,39.66
047096013,0.17,17.33,41.69,17.33,1,homecare,address,75.48,80.94,60.67,45.79
047096014,0.42,17.18,41.5,17.18,1,homecare,address,75.11,78.68,52.89,39.73
047096015,0.25,17.18,41.51,17.18,1,homecare,address,75.1,81.82,64.07,48.12
047096016,0.85,16.55,40.89,16.55,1,homecare,address,73.54,67.56,68.02,50.02
047096017,0.53,16.98,41.3,16.98,1,homecare,address,74.62,75.95,47.51,35.45
047096018,0.3,18.16,42.52,18.16,1,homecare,address,77.28,74.29,55.13,42.6
047096019,0.59,17.71,42.0,17.71,1,homecare,address,76.35,49.42,61.49,46.95
047097001,2.22,27.48,36.26,27.48,0,homecare,address,90.71,57.09,54.91,49.81
047097002,8.3,32.98,41.05,32.98,0,homecare,address,95.16,74.4,56.77,54.02
047097003,2.87,28.38,37.55,28.38,0,homecare,address,91.52,61.41,56.05,51.3
047097004,4.99,30.5,39.13,30.5,0,homecare,address,93.46,52.5,58.77,54.93
047098001,9.11,32.67,57.16,32.67,0,homecare,town,95.03,71.46,82.25,78.16
047098002,10.82,30.96,55.44,30.96,0,homecare,town,93.83,58.65,64.41,60.44
047099001,14.82,36.44,60.86,36.44,0,homecare,town,96.31,76.14,62.17,59.88
047100001,8.14,15.19,36.55,15.19,1,homecare,address,70.3,40.41,33.0,23.2
047101001,11.49,23.29,23.55,23.29,13,homecare,address,85.35,58.93,47.29,40.36
047101002,11.45,21.84,22.75,21.84,13,homecare,address,83.36,47.53,43.04,35.88
047102001,3.24,23.62,27.75,23.62,3,homecare,town,85.82,47.12,40.55,34.8
047103001,6.1,27.16,36.66,27.16,0,homecare,town,90.34,71.94,45.65,41.24
047103002/047103005,3.87,29.79,39.84,29.79,0,homecare,county,93.05,54.24,52.68,49.02
047103003,4.99,28.5,37.26,28.5,0,homecare,county,91.69,51.61,59.74,54.78
047103004,4.9,28.38,37.83,28.38,0,homecare,town,91.51,52.15,45.14,41.31
047104001,10.66,30.17,54.1,30.17,0,homecare,address,93.25,56.16,40.79,38.04
047104002,10.64,28.79,52.7,28.79,0,homecare,address,92.01,70.7,61.28,56.38
047105001/047105003,0.86,13.72,25.26,13.72,3,homecare,town,66.62,45.33,51.38,34.23
047105002,0.97,12.18,23.72,12.18,14,homecare,town,62.29,34.01,41.88,26.09
047105004,2.38,13.5,23.76,13.5,14,homecare,town,66.0,40.13,48.58,32.06
047105005,0.28,13.26,24.5,13.26,14,homecare,town,65.34,60.81,45.02,29.42
047105006,0.31,12.8,24.16,12.8,14,homecare,town,63.95,69.41,65.4,41.82
047105007,0.16,13.08,24.5,13.08,14,homecare,town,64.74,68.16,53.01,34.32
047105008,0.4,12.76,24.23,12.76,14,homecare,town,63.84,44.5,40.53,25.87
047105009,2.79,11.34,21.89,11.34,14,homecare,town,60.59,46.19,39.97,24.22
047105010,4.34,11.9,21.16,11.9,14,homecare,town,61.63,46.89,37.47,23.09
047105011,4.16,12.19,21.32,12.19,14,homecare,town,62.31,50.12,41.39,25.79
047105012,4.53,11.64,21.03,11.64,14,homecare,town,61.09,52.84,27.16,16.59
047105013,4.02,11.61,20.68,11.61,14,homecare,town,61.04,62.55,63.94,39.03
047105014,4.11,11.89,21.01,11.89,14,homecare,town,61.61,65.41,60.11,37.03
047105015,3.09,10.64,21.41,10.64,14,homecare,town,59.1,52.6,49.04,28.98
047106001,3.44,5.26,15.38,5.26,14,homecare,town,44.74,35.6,48.43,21.67
047106002,5.39,7.01,17.32,7.01,14,homecare,town,50.62,32.36,45.7,23.13
047106003,0.92,2.94,13.57,2.94,14,homecare,town,33.79,44.65,37.8,12.77
047106005,0.72,2.77,13.37,2.77,14,homecare,town,32.61,43.69,29.04,9.47
047106006/01,0.77,2.83,13.26,2.83,14,homecare,town,33.02,44.92,34.99,11.55
047106006/02,0.78,2.82,13.12,2.82,14,homecare,town,32.99,46.88,31.57,10.41
047106007,0.55,2.51,12.95,2.51,14,homecare,town,30.39,59.28,66.31,20.15
047106008,0.8,2.78,12.89,2.78,14,homecare,town,32.65,52.54,58.03,18.95
047106009,0.67,2.49,12.74,2.49,14,homecare,town,30.23,40.3,47.59,14.39
047106010,0.74,2.24,12.58,2.24,14,homecare,town,27.73,52.8,49.31,13.67
047106011,0.9,2.64,12.54,2.64,14,homecare,town,31.56,24.73,31.57,9.96
047106012,1.09,2.41,12.23,2.41,14,homecare,town,29.52,33.37,39.13,11.55
047106013,5.22,7.16,11.9,7.16,14,homecare,town,51.08,55.05,29.52,15.08
047106014,3.83,5.68,11.54,5.68,14,homecare,town,46.27,41.81,60.73,28.1
047106015,1.14,2.6,12.2,2.6,14,homecare,town,31.15,47.92,32.09,10.0
047106016,2.14,3.12,11.18,3.12,14,homecare,town,34.93,26.45,33.01,11.53
047106017,2.02,3.1,11.31,3.1,14,homecare,town,34.82,24.68,37.25,12.97
047106018,1.92,2.87,11.4,2.87,14,homecare,town,33.35,33.2,24.64,8.22
047106019,2.0,2.78,11.34,2.78,14,homecare,town,32.67,20.23,41.39,13.52
047106020,2.16,2.86,11.19,2.86,14,homecare,town,33.21,34.64,42.78,14.21
047106021,1.91,2.53,11.49,2.53,14,homecare,town,30.58,29.55,27.07,8.28
047106022,1.7,2.51,11.66,2.51,14,homecare,town,30.37,18.82,37.3,11.33
047106023,1.39,2.41,11.94,2.41,14,homecare,town,29.53,45.7,49.82,14.71
047106024,1.49,2.61,11.83,2.61,14,homecare,town,31.33,42.92,39.72,12.44
047106025,2.22,4.22,12.6,4.22,14,homecare,town,40.41,45.08,31.79,12.85
047106026/047106029,1.42,3.3,12.44,3.3,14,homecare,town,36.01,22.35,38.54,13.88
047106027,1.68,3.42,14.53,3.42,14,homecare,town,36.64,63.93,40.73,14.92
047106028/01,1.53,3.35,14.32,3.35,14,homecare,town,36.25,53.56,65.74,23.83
047106028/02/047106004,1.31,3.3,13.82,3.3,14,homecare,town,36.0,38.56,35.87,12.91
047107001,1.16,2.22,12.19,2.22,14,homecare,town,27.53,47.47,56.32,15.5
047107002,1.5,2.25,11.89,2.25,14,homecare,town,27.77,34.05,34.85,9.68
047107003,0.94,2.04,12.43,2.04,14,homecare,town,25.46,53.86,50.38,12.83
047107004,0.81,1.73,12.7,1.73,14,homecare,town,21.47,41.57,61.25,13.15
047107005,1.4,3.15,14.35,3.15,14,homecare,town,35.15,56.87,64.83,22.79
047107006,1.08,2.96,14.0,2.96,14,homecare,town,33.9,58.58,58.12,19.7
047107007,0.95,2.71,14.07,2.71,14,homecare,town,32.11,50.54,53.9,17.31
047107008,0.61,2.51,13.76,2.51,14,homecare,town,30.38,59.09,65.44,19.88
047107009,0.57,2.41,13.78,2.41,14,homecare,town,29.48,57.58,53.17,15.67
047107010/047107028,0.32,2.25,13.57,2.25,14,homecare,town,27.83,59.12,64.96,18.08
047107011,0.66,2.65,13.63,2.65,14,homecare,town,31.62,34.01,59.56,18.83
047107012,0.17,2.22,13.39,2.22,14,homecare,town,27.45,61.62,48.4,13.29
047107013,0.41,2.47,13.28,2.47,14,homecare,town,30.11,58.31,60.22,18.13
047107014,0.27,2.18,13.07,2.18,14,homecare,town,27.01,53.91,48.39,13.07
047107015,0.08,2.08,13.24,2.08,14,homecare,town,25.91,54.99,56.42,14.62
047107016,0.75,2.04,12.6,2.04,14,homecare,town,25.47,58.13,58.84,14.99
047107017,0.61,2.0,12.75,2.0,14,homecare,town,24.97,50.51,55.98,13.98
047107018,1.04,1.94,12.39,1.94,14,homecare,town,24.2,37.98,62.63,15.16
047107019,1.28,2.07,12.14,2.07,14,homecare,town,25.74,38.99,63.79,16.42
047107020,1.71,2.35,11.7,2.35,14,homecare,town,28.92,42.77,45.0,13.01
047107021/01,1.48,1.91,12.08,1.91,14,homecare,town,23.78,31.27,55.59,13.22
047107021/02,1.82,2.29,11.65,2.29,14,homecare,town,28.2,17.02,28.85,8.14
047107022,1.4,1.45,12.45,1.45,14,homecare,town,17.13,38.34,55.28,9.47
047107023,1.83,1.92,11.87,1.92,14,homecare,town,23.97,29.07,50.33,12.06
047107024,0.47,2.16,12.86,2.16,14,homecare,town,26.76,50.77,54.38,14.55
047107025,0.49,2.32,12.87,2.32,14,homecare,town,28.62,49.89,53.7,15.37
047107026,1.08,2.92,14.06,2.92,14,homecare,town,33.67,61.44,61.22,20.61
047107027,1.3,2.99,14.37,2.99,14,homecare,town,34.08,47.31,48.41,16.5
047107029,0.37,2.34,13.56,2.34,14,homecare,town,28.8,55.17,75.41,21.72
047108001,7.54,55.78,78.58,55.78,0,homecare,address,99.35,64.77,70.8,70.34
047109001,4.67,21.84,43.64,21.84,1,homecare,address,83.37,50.83,49.95,41.64
047110001,6.58,24.39,48.82,24.39,1,homecare,address,86.96,46.89,38.69,33.64
047110002,3.84,20.82,45.25,20.82,1,homecare,address,81.96,50.61,44.61,36.56
047110003,6.39,23.62,48.04,23.62,1,homecare,address,85.82,47.19,60.16,51.63
047111001/01,3.59,28.5,32.11,28.5,0,homecare,address,91.68,66.76,51.98,47.66
047111001/02,3.95,28.87,32.12,28.87,0,homecare,address,92.08,46.79,34.51,31.78
047111002,7.51,30.15,30.15,30.15,0,homecare,town,93.23,61.02,64.7,60.32
047111003,4.33,29.26,32.18,29.26,0,homecare,address,92.53,69.16,64.82,59.98
047111004,6.69,31.54,32.52,31.54,0,homecare,address,94.29,50.21,41.4,39.04
047112001,8.79,10.61,27.92,10.61,1,homecare,address,59.04,46.13,50.61,29.88
047112002,10.5,11.64,29.92,11.64,1,homecare,address,61.1,34.02,40.66,24.84
047113001,6.02,27.62,47.15,27.62,0,homecare,address,90.83,52.55,47.85,43.46
047113002,9.2,29.87,48.22,29.87,0,homecare,address,93.12,76.25,74.82,69.67
047114001,4.89,32.83,43.58,32.83,0,homecare,address,95.1,50.12,48.44,46.07
047114002,1.96,31.93,46.03,31.93,0,homecare,address,94.64,70.19,55.47,52.5
047114004,0.61,30.63,44.78,30.63,0,homecare,address,93.58,66.22,77.14,72.19
047114005/047114003,0.4,30.36,44.19,30.36,0,homecare,address,93.38,92.94,83.52,77.99
047115002,6.1,5.93,19.35,5.93,14,homecare,town,47.22,41.57,36.49,17.23
047115003,7.21,6.41,20.02,6.41,14,homecare,town,48.69,28.31,30.86,15.03
047115004/01,5.38,5.42,18.68,5.42,14,homecare,town,45.32,28.23,26.47,12.0
047115004/02,5.2,5.06,18.44,5.06,14,homecare,town,43.83,40.36,50.88,22.3
047115005,5.21,5.5,18.53,5.5,14,homecare,town,45.59,42.13,25.71,11.72
047115006,5.36,5.51,18.68,5.51,14,homecare,town,45.63,32.98,33.36,15.22
047115007,6.07,6.8,19.24,6.8,14,homecare,town,49.97,45.77,42.4,21.19
047115008,5.0,5.51,18.29,5.51,14,homecare,town,45.62,29.2,51.62,23.55
047115009,6.3,6.86,19.54,6.86,14,homecare,town,50.18,37.66,25.52,12.81
047115010,5.9,6.44,19.16,6.44,14,homecare,town,48.83,58.35,49.19,24.02
047116001,5.23,52.45,107.14,52.45,0,homecare,town,99.06,80.84,68.02,67.38
047116002,7.33,52.5,108.96,52.5,0,homecare,town,99.07,75.56,63.55,62.96
047116003/047116004,10.57,54.88,112.56,54.88,0,homecare,town,99.28,77.13,79.8,79.23
047116005,8.51,55.78,110.87,55.78,0,homecare,town,99.35,65.33,73.26,72.78
047117001,12.77,12.63,32.87,12.63,1,homecare,address,63.52,53.17,47.22,29.99
047117002,13.09,12.96,33.44,12.96,1,homecare,address,64.39,52.37,53.44,34.41
047117003,12.68,14.35,34.94,14.35,1,homecare,address,68.31,44.57,50.86,34.74
047117004/047117005,11.93,12.43,33.69,12.43,1,homecare,address,62.95,58.39,53.29,33.55
047118001,9.6,21.12,35.53,21.12,1,homecare,address,82.41,55.2,48.22,39.74
047119001/047119005,18.31,70.96,102.63,70.96,0,homecare,town,99.99,58.88,63.49,63.48
047119002/047119003/047119004,15.07,71.11,99.63,71.11,0,homecare,town,99.99,76.91,80.46,80.45
047120001,1.99,10.33,12.95,10.33,15,homecare,town,58.38,31.26,17.23,10.06
047120002,0.34,11.46,14.08,11.46,15,homecare,town,60.77,31.14,33.21,20.18
047121001,8.13,34.8,51.87,34.8,0,homecare,address,95.83,67.59,72.85,69.81
047121002,8.37,33.41,51.36,33.41,0,homecare,address,95.3,76.06,80.34,76.56
047122001,9.85,27.8,35.59,27.8,0,homecare,county,91.02,49.38,47.92,43.62
047123001/047123004,10.32,48.08,92.07,48.08,0,homecare,town,98.64,73.31,68.86,67.92
047123002,6.45,48.52,96.05,48.52,0,homecare,town,98.7,73.09,65.5,64.65
047123003,4.7,50.29,97.69,50.29,0,homecare,town,98.9,55.93,38.24,37.82
047124001,7.65,24.9,31.1,24.9,3,homecare,town,87.64,60.23,45.37,39.76
047125001,6.98,31.11,49.13,31.11,0,homecare,address,93.97,63.0,56.14,52.75
047126001,10.8,27.47,51.78,27.47,0,homecare,address,90.71,54.24,34.57,31.36
047126002/047126003/047126004/047126005,12.34,29.85,54.25,29.85,0,homecare,address,93.12,60.23,60.07,55.94
047127001,11.86,34.42,47.34,34.42,0,homecare,address,95.71,55.23,36.6,35.03
047128001,4.24,21.82,38.78,21.82,1,homecare,address,83.33,43.89,52.53,43.77
047128002,4.46,18.97,36.12,18.97,1,homecare,address,78.86,62.22,55.54,43.8
047129001,9.2,9.19,35.74,9.19,1,homecare,address,55.81,33.91,51.16,28.55
047129003,10.3,10.3,36.68,10.3,1,homecare,address,58.32,63.24,63.71,37.16
047129004,9.59,9.58,36.08,9.58,1,homecare,address,56.72,61.58,62.42,35.4
047129005,9.83,9.82,36.29,9.82,1,homecare,address,57.24,66.44,61.55,35.23
047129006,9.74,12.17,38.01,12.17,1,homecare,address,62.27,39.08,64.43,40.12
047129007/047129002,9.37,11.67,38.76,11.67,1,homecare,address,61.18,51.51,65.41,40.02
047130001,9.66,31.72,51.03,31.72,0,homecare,address,94.47,64.95,61.55,58.15
047130002,11.22,34.8,53.81,34.8,0,homecare,address,95.82,74.78,77.23,74.0
047131001,14.41,39.77,58.42,39.77,0,homecare,address,97.13,71.83,82.4,80.04
047132001,0.9,2.05,3.41,2.05,15,homecare,town,25.52,30.02,35.06,8.95
047132002,0.7,2.26,3.54,2.26,15,homecare,town,27.93,36.3,53.64,14.98
047132003,0.99,2.14,3.71,2.14,15,homecare,town,26.64,43.15,48.63,12.96
047132004,0.74,2.3,3.67,2.3,15,homecare,town,28.27,34.65,52.34,14.8
047132005,1.21,2.41,4.16,2.41,15,homecare,town,29.44,39.09,34.67,10.21
047132006,0.2,3.67,4.24,3.67,14,homecare,town,37.89,25.61,54.18,20.53
047132007,2.06,3.15,5.63,3.15,15,homecare,town,35.15,29.16,40.78,14.33
047132008,0.29,5.05,5.66,5.05,14,homecare,town,43.81,22.66,31.17,13.66
047132009,0.54,4.91,5.66,4.91,14,homecare,town,43.2,31.13,19.22,8.3
047132010,0.66,5.6,6.86,5.6,14,homecare,town,46.01,36.77,37.41,17.21
047132011,1.0,4.52,5.45,4.52,14,homecare,town,41.59,21.55,32.78,13.63
047132012,0.86,4.88,5.81,4.88,14,homecare,town,43.07,22.29,29.34,12.64
047132013,0.91,4.78,5.78,4.78,14,homecare,town,42.62,32.72,27.9,11.89
047132014,0.82,4.94,5.97,4.94,14,homecare,town,43.35,34.55,16.13,6.99
047132015,0.87,5.2,6.14,5.2,14,homecare,town,44.46,29.86,50.28,22.35
047132016,0.97,4.36,5.48,4.36,14,homecare,town,41.02,34.66,17.47,7.17
047132017,0.75,4.47,5.66,4.47,14,homecare,town,41.41,34.64,20.07,8.31
047132018/01,1.07,6.28,7.35,6.28,14,homecare,town,48.38,34.09,41.42,20.04
047132018/02,0.87,4.24,5.5,4.24,14,homecare,town,40.55,46.83,22.21,9.01
047132018/03,0.5,5.3,6.5,5.3,14,homecare,town,44.89,37.92,45.52,20.43
047132019,0.77,3.87,4.84,3.87,14,homecare,town,38.83,22.09,31.0,12.04
047132020,1.22,2.29,4.05,2.29,15,homecare,town,28.2,19.54,48.48,13.67
047132021,0.83,3.16,4.52,3.16,15,homecare,town,35.21,45.66,35.95,12.66
047132022,0.68,2.7,4.1,2.7,15,homecare,town,32.02,46.33,36.35,11.64
047132023,0.9,2.51,4.06,2.51,15,homecare,town,30.37,32.81,33.89,10.29
047132024,0.86,2.81,4.3,2.81,15,homecare,town,32.91,29.84,48.75,16.04
047132025,1.04,3.1,4.61,3.1,15,homecare,town,34.8,35.36,42.45,14.77
047132026,1.09,3.01,4.58,3.01,15,homecare,town,34.25,20.66,38.77,13.28
047132027,1.13,2.91,4.53,2.91,15,homecare,town,33.59,28.38,42.14,14.15
047132028,1.08,2.65,4.3,2.65,15,homecare,town,31.58,40.61,43.6,13.77
047132029,1.27,2.68,4.43,2.68,15,homecare,town,31.86,27.85,36.06,11.49
047132030,1.41,2.81,4.61,2.81,15,homecare,town,32.91,36.13,22.77,7.49
047132031,1.59,2.73,4.64,2.73,15,homecare,town,32.3,34.67,23.75,7.67
047132032,1.52,3.1,4.88,3.1,15,homecare,town,34.87,44.34,35.25,12.29
047132033/01,1.85,3.62,5.62,3.62,15,homecare,town,37.59,21.54,34.1,12.82
047132033/02,1.8,5.73,7.64,5.73,15,homecare,town,46.46,37.48,30.44,14.14
047132034,1.43,3.24,4.92,3.24,15,homecare,town,35.68,24.98,30.92,11.03
047132035,1.32,3.09,4.76,3.09,15,homecare,town,34.72,39.23,40.36,14.01
047132036,0.47,2.48,3.66,2.48,15,homecare,town,30.2,47.61,58.08,17.54
047132037,0.88,2.3,3.82,2.3,15,homecare,town,28.39,53.83,51.21,14.54
047132038,0.59,2.53,3.86,2.53,15,homecare,town,30.62,50.96,55.79,17.08
047132039,0.34,3.21,4.13,3.21,14,homecare,town,35.52,18.51,12.81,4.55
047132040,0.63,3.17,4.38,3.17,15,homecare,town,35.24,31.16,25.53,9.0
047132041,0.41,2.8,4.0,2.8,15,homecare,town,32.83,50.06,26.66,8.75
047132042,0.22,2.91,3.95,2.91,15,homecare,town,33.6,25.39,16.15,5.43
047132043,0.29,3.43,3.88,3.43,14,homecare,town,36.65,44.77,38.34,14.05
047132044,0.49,3.97,4.44,3.97,14,homecare,town,39.3,24.79,37.87,14.88
047132045,0.92,6.75,6.79,6.75,14,homecare,town,49.78,47.94,46.01,22.9
047132046,0.8,4.27,4.64,4.27,14,homecare,town,40.65,25.52,43.48,17.67
047132047,0.69,3.87,4.02,3.87,14,homecare,town,38.82,34.88,43.15,16.75
047132048,0.63,3.99,4.24,3.99,14,homecare,town,39.41,34.16,30.94,12.19
047132049,0.53,3.96,4.32,3.96,14,homecare,town,39.23,36.41,38.3,15.03
047132050,0.51,5.68,6.33,5.68,14,homecare,town,46.25,26.83,28.53,13.2
047132051,0.81,5.66,5.72,5.66,14,homecare,town,46.19,52.49,18.06,8.34
047132052,0.63,5.79,5.9,5.79,14,homecare,town,46.67,51.09,30.63,14.3
047132053,0.83,5.08,5.23,5.08,14,homecare,town,43.92,34.7,39.12,17.18
047132054,0.27,5.11,5.59,5.11,14,homecare,town,44.1,25.3,39.55,17.44
047132055,0.32,5.64,6.16,5.64,14,homecare,town,46.14,37.88,31.3,14.44
047132056,0.21,5.93,6.38,5.93,14,homecare,town,47.2,24.35,26.61,12.56
047132057,0.37,5.36,5.7,5.36,14,homecare,town,45.11,35.44,31.34,14.14
047132058,0.29,5.57,6.0,5.57,14,homecare,town,45.87,23.68,36.07,16.55
047132059,0.2,5.82,6.19,5.82,14,homecare,town,46.77,25.61,29.94,14.0
047132060,1.01,4.29,5.13,4.29,14,homecare,town,40.74,30.53,41.66,16.97
047132061,0.59,4.74,5.4,4.74,14,homecare,town,42.45,42.64,26.61,11.3
047132062,0.78,4.54,5.22,4.54,14,homecare,town,41.65,21.57,24.27,10.11
047132063,0.59,4.79,5.51,4.79,14,homecare,town,42.66,40.77,15.57,6.64
047132064,0.74,4.69,5.49,4.69,14,homecare,town,42.26,37.14,28.21,11.92
047132065,0.72,4.86,5.71,4.86,14,homecare,town,42.96,22.23,32.51,13.97
047132066,0.38,5.2,5.92,5.2,14,homecare,town,44.5,29.06,31.84,14.17
047132067,0.66,5.12,5.97,5.12,14,homecare,town,44.11,22.8,11.49,5.07
047132068,0.14,3.5,4.23,3.5,14,homecare,town,37.04,20.8,33.63,12.46
047132069,0.26,3.18,3.94,3.18,14,homecare,town,35.33,48.41,26.88,9.5
047132070,0.5,3.45,4.42,3.45,14,homecare,town,36.74,22.27,32.89,12.08
047132071,0.2,2.87,3.62,2.87,14,homecare,town,33.34,49.18,37.95,12.65
047132072,0.56,3.17,3.57,3.17,14,homecare,town,35.31,60.52,37.29,13.17
047132073,0.53,4.79,5.37,4.79,14,homecare,town,42.7,46.54,23.53,10.05
047132074,0.73,4.65,5.12,4.65,14,homecare,town,42.12,23.98,17.25,7.27
047132075,0.58,4.78,5.95,4.78,14,homecare,town,42.64,53.25,27.75,11.83
047132076,0.8,4.67,5.76,4.67,14,homecare,town,42.19,27.97,37.97,16.02
047132077,0.52,2.43,3.37,2.43,15,homecare,town,29.69,59.35,40.22,11.94
047132078,0.92,4.31,5.01,4.31,14,homecare,town,40.81,28.35,30.39,12.4
047132079,0.81,4.27,4.86,4.27,14,homecare,town,40.68,21.09,29.46,11.98
047132080,0.45,3.25,4.25,3.25,14,homecare,town,35.72,49.53,27.03,9.66
047132081,0.54,3.24,4.33,3.24,14,homecare,town,35.69,31.07,12.42,4.43
047132082,0.4,5.73,5.99,5.73,14,homecare,town,46.44,32.92,31.15,14.47
047132083,0.34,5.8,6.06,5.8,14,homecare,town,46.7,27.25,19.26,8.99
047132084,1.85,5.69,8.18,5.69,14,homecare,town,46.3,26.21,48.57,22.49
047133001,6.68,28.68,51.9,28.68,0,homecare,address,91.92,54.4,58.56,53.83
047133002,7.09,30.98,54.16,30.98,0,homecare,address,93.84,68.01,57.51,53.97
047134001,5.33,25.74,48.89,25.74,0,homecare,address,88.62,58.89,62.43,55.33
047135001,9.07,17.42,17.22,17.22,13,fci,address,75.19,38.34,26.21,19.71
047135002,6.08,15.19,15.02,15.02,13,fci,address,69.88,37.33,49.45,34.56
047135003,8.13,17.19,17.02,17.02,13,fci,address,74.73,39.11,35.69,26.67
047135004,9.75,17.61,17.39,17.39,12,fci,address,75.65,44.96,30.11,22.78
047135005,10.54,18.84,18.64,18.64,13,fci,address,78.26,56.24,46.41,36.32
047136001,0.68,29.46,43.55,29.46,0,homecare,address,92.74,77.1,49.97,46.34
047136002,1.09,29.73,43.23,29.73,0,homecare,address,93.01,74.26,63.14,58.73
047136004,0.27,29.89,43.91,29.89,0,homecare,address,93.13,88.59,69.02,64.28
047136006,1.36,28.82,43.5,28.82,0,homecare,address,92.05,55.24,58.62,53.96
047136007,1.06,29.05,43.48,29.05,0,homecare,address,92.3,65.33,42.85,39.55
047136008/047136003/047136005,2.85,28.12,41.33,28.12,0,homecare,address,91.27,50.52,39.25,35.82
047137001,2.79,39.28,61.31,39.28,0,homecare,address,97.03,60.8,57.99,56.27
047137002,0.23,37.66,60.14,37.66,0,homecare,address,96.63,83.79,73.11,70.65
047138001,5.06,37.47,58.83,37.47,0,homecare,address,96.58,74.8,74.92,72.36
047139001,6.6,19.71,40.18,19.71,2,homecare,town,80.13,59.08,76.05,60.94
047139002,6.66,19.74,40.28,19.74,2,homecare,town,80.19,62.99,70.76,56.74
047140001,6.37,10.76,23.21,10.76,11,homecare,address,59.39,35.47,31.01,18.42
047140002,6.35,11.27,25.88,11.27,1,homecare,address,60.42,30.96,40.2,24.29
047140003/01,6.95,11.65,24.17,11.65,11,homecare,address,61.11,32.46,34.87,21.31
047140003/02,7.09,11.59,23.26,11.59,11,homecare,address,61.0,36.63,38.95,23.76
047140004,2.34,7.25,26.55,7.25,1,homecare,address,51.33,46.36,36.9,18.94
047140005,0.35,4.96,27.1,4.96,1,homecare,address,43.44,37.38,38.37,16.67
047140006,1.99,5.11,25.54,5.11,1,homecare,address,44.05,36.72,45.85,20.2
047140007,0.21,5.16,27.31,5.16,1,homecare,address,44.32,45.45,36.59,16.22
047140008,0.38,4.6,27.58,4.6,1,homecare,address,41.86,54.01,49.79,20.84
047140009,1.24,3.87,28.16,3.87,1,homecare,address,38.86,34.13,47.08,18.3
047140010,0.61,4.4,27.76,4.4,1,homecare,address,41.24,39.3,34.72,14.32
047141001,6.01,60.68,83.36,60.68,0,homecare,address,99.64,53.46,55.22,55.02
047142001,4.06,8.11,9.78,8.11,15,homecare,town,53.39,34.64,33.12,17.68
047142002,5.87,10.81,12.33,10.81,15,homecare,town,59.48,32.02,30.97,18.42
047142003,6.53,9.3,11.37,9.3,15,homecare,town,56.12,32.27,30.67,17.21
047142004,6.34,10.09,12.24,10.09,15,homecare,town,57.84,34.61,40.86,23.63
047142005,7.68,11.0,13.52,11.0,15,homecare,address,59.86,30.68,46.96,28.11
047143001,3.88,19.98,25.61,19.98,3,homecare,town,80.59,53.18,26.16,21.08
047143002,5.13,21.5,27.54,21.5,3,homecare,town,82.92,46.9,30.29,25.12
047144001/047144002,5.61,64.1,88.03,64.1,0,homecare,town,99.8,52.37,56.38,56.27
047145001,3.3,28.63,49.49,28.63,0,homecare,address,91.85,46.67,42.11,38.68
047145002,1.81,26.33,47.45,26.33,0,homecare,address,89.43,60.37,57.12,51.08
047145003,0.3,26.49,48.14,26.49,0,homecare,address,89.58,85.14,79.95,71.62
047145004,0.74,25.56,47.22,25.56,0,homecare,address,88.37,75.81,60.49,53.46
047145005,0.38,26.07,47.69,26.07,0,homecare,address,89.14,84.59,56.19,50.09
047146001,2.5,27.78,50.0,27.78,0,homecare,address,90.99,70.69,53.84,48.99
047146002,1.83,24.75,46.87,24.75,1,homecare,address,87.42,44.46,54.57,47.71
047146003,0.68,26.89,48.64,26.89,0,homecare,address,90.03,86.3,52.68,47.43
047146004,0.44,26.03,47.88,26.03,0,homecare,address,89.08,83.97,72.45,64.54
047146005,0.75,26.65,48.54,26.65,0,homecare,address,89.81,64.2,55.24,49.61
047146006,0.73,26.83,48.65,26.83,0,homecare,address,89.98,79.03,60.57,54.5
047147001,8.99,56.74,79.14,56.74,0,homecare,address,99.45,50.48,63.02,62.67
047147002,5.95,53.97,76.16,53.97,0,homecare,address,99.2,61.34,48.39,48.0
047148001,6.76,55.53,78.55,55.53,0,homecare,town,99.33,76.71,72.36,71.88
047148002/047148003,10.22,56.38,82.02,56.38,0,homecare,town,99.41,73.44,66.36,65.97
047148004,7.68,56.67,78.8,56.67,0,homecare,address,99.44,79.27,63.37,63.02
047148005,7.22,56.01,78.15,56.01,0,homecare,address,99.36,70.14,72.3,71.84
047149001,2.45,17.32,37.63,17.32,1,homecare,address,75.45,50.61,75.92,57.28
